AAPFCO,"""AAPFCO"" means the Association of American Plant Food Control Officials."
nonpoint source pollution,"""Nonpoint source pollution"" means pollution such as sediment, nitrogen, phosphorus, hydrocarbons, heavy metals, and toxics whose sources cannot be pinpointed but rather are washed from the land surface in a diffuse manner by stormwater runoff."
nonpoint source pollution,"""Nonpoint source pollution"" means pollution of state waters washed from the land surface in a diffuse manner and not resulting from a discernible, defined or discrete conveyance."
nonprescription drug,"""Nonprescription drug"" means any substances or mixture of substances containing medicines or drugs for which no prescription is required and which are generally sold for internal or topical use in the cure, mitigation, treatment, or prevention of disease in human beings."
nonprofessional services,"""Nonprofessional services"" means any services not specifically identified as professional services in the definition of professional services."
nonprofit entity,"""Nonprofit entity"" means (a) a foreign or domestic nonstock corporation licensed and subject to regulation under Chapter 42 (§ 38.2-4200 et seq.) of Title 38.2 or (b) a person that is exempt from taxation under 26 U.S.C. § 501 (c) (3) or (4) and is, or owns, one of the following: (i) a hospital licensed under Chapter 5 (§ 32.1-123 et seq.) of Title 32.1 or Article 2 (§ 37.2-403 et seq.) of Chapter 4 of Title 37.2; (ii) a health maintenance organization licensed under Chapter 43 (§ 38.2-4300 et seq.) of Title 38.2; (iii) a nursing home, including a facility known by varying nomenclature or designation such as convalescent home, skilled nursing facility or skilled care facility, intermediate care facility, extended care facility, a certified nursing facility or nursing care facility, licensed under the provisions of Article 1 (§ 32.1-123 et seq.) of Chapter 5 of Title 32.1; or (iv) a facility for the provision of continuing care registered with the State Corporation Commission pursuant to Chapter 49 (§ 38.2-4900 et seq.) of Title 38.2."
nonprofit organization,"""Nonprofit organization"" means a nonprofit, tax-exempt health data organization with the characteristics, expertise, and capacity to execute the powers and duties set forth for such entity in this chapter."
nonprofit organization,"""Nonprofit organization"" means an organization that is exempt from paying federal income taxes under § 501 of the Internal Revenue Code (26 U.S.C. § 501)."
nonrecurring expenditures,"""Nonrecurring expenditures"" means the acquisition or construction of capital outlay projects as defined in § 2.2-1518, the acquisition or construction of capital improvements, the acquisition of land, the acquisition of equipment, or other expenditures of a one-time nature as specified in the general appropriation act."
nonrelated,"""Nonrelated"" means not related by blood or marriage, ascending or descending or first degree full or half collateral."
nonrepairable certificate,"""Nonrepairable certificate"" means a document of ownership issued by the Department for any nonrepairable vehicle upon surrender or cancellation of the vehicle's title and registration or salvage certificate."
nonrepairable vehicle,"""Nonrepairable vehicle"" means (i) any late model vehicle that has been damaged and whose estimated cost of repair exceeds 90 percent of its actual cash value prior to damage, or (ii) any vehicle which has been determined to be nonrepairable by its insurer or owner, and for which a nonrepairable certificate has been issued or applied for, or (iii) any other vehicle which has been damaged, is inoperable, and has no value except for use as parts and scrap metal."
nonresident,"""Nonresident"" means every person who is not domiciled in the Commonwealth, except: (i) any foreign corporation that is authorized to do business in the Commonwealth by the State Corporation Commission shall be a resident of the Commonwealth for the purpose of this title; in the case of corporations incorporated in the Commonwealth but doing business outside the Commonwealth, only such principal place of business or branches located within the Commonwealth shall be dealt with as residents of the Commonwealth; (ii) a person who becomes engaged in a gainful occupation in the Commonwealth for a period exceeding 60 days shall be a resident for the purposes of this title except for the purposes of Chapter 3 (§ 46.2-300 et seq.) of this title; (iii) a person, other than a nonresident student as defined in this section, who has actually resided in the Commonwealth for a period of six months, whether employed or not, or who has registered a motor vehicle, listing an address in the Commonwealth in the application for registration shall be deemed a resident for the purposes of this title, except for the purposes of the Virginia Commercial Driver's License Act (§ 46.2-341.1 et seq.)."
nonresident,"""Nonresident"" means a decedent who was domiciled outside of the Commonwealth of Virginia at his death."
nonresident estate or trust,"""Nonresident estate or trust"" means an estate or trust which is not a resident estate or trust."
nonresident payee,"""nonresident payee"" means every individual who is not a resident, every nonresident estate or trust, every partnership and S corporation which has nonresident partners or shareholders, or every corporation which is not formed or organized under Virginia law."
nonresident payee,"""nonresident payee"" means every individual who is not a resident, every nonresident estate or trust, every partnership and S corporation which has nonresident partners or shareholders, or every corporation which is not formed or organized under Virginia law."
nonresident student,"""Nonresident student"" means every nonresident person who is enrolled as a full-time student in an accredited institution of learning in the Commonwealth and who is not gainfully employed."
nonresidential rental unit,"""Nonresidential rental unit"" means a room or rooms in which retail or commercial services, clerical work or professional duties are carried out."
nonstate agency,"""State agency and institution"" means any authority, board, department, instrumentality, agency or other unit in any branch of state government. The term shall not include any county, city or town, or any local or regional governmental authority or any ""nonstate agency"" as defined in the appropriation act."
nonstate agency,"""Nonstate agency"" means any public or private foundation, authority, institute, museum, corporation, or similar organization that is (i) not a unit of state government or a political subdivision of the Commonwealth as established by general law or special act and (ii) wholly or principally supported by state funds. ""Nonstate agency"" shall not include any such entity that receives state funds (a) as a subgrantee of a state agency, (b) through a state grant-in-aid program authorized by law, (c) as a result of an award of a competitive grant or a public contract for the procurement of goods, services, or construction, or (d) pursuant to a lease of real property as described in subdivision 5 of § 2.2-1149."
nonstock corporation,"""Nonstock corporation"" means a foreign or domestic nonstock corporation which is subject to regulation and licensing under this chapter and which operates a dental services plan or an optometric services plan."
nonstock corporation,"""Nonstock corporation"" means a foreign or domestic nonstock corporation which is subject to regulation and licensing under this chapter and which offers or administers subscription contracts to contract holders as part of a plan."
nonsurviving brewery,"""Nonsurviving brewery"" means any brewery which is purchased by another brewery as provided in § 4.1-504 and, as a result, ceases to exist as an independent legal entity."
nonsurviving winery,"""Nonsurviving winery"" means any winery which is purchased by another winery as provided in § 4.1-405 and, as a result, ceases to exist as an independent legal entity."
nontherapeutic research,"""Nontherapeutic research"" means human research in which there is no reasonable expectation of direct benefit to the physical or mental condition of the human subject."
nontraditional mortgage product,"""Nontraditional mortgage product"" means any mortgage product other than a 30-year fixed rate mortgage."
nonvegetated wetlands,"""Nonvegetated wetlands"" means unvegetated lands lying contiguous to mean low water and between mean low water and mean high water, including those unvegetated areas of Back Bay and its tributaries and the North Landing River and its tributaries subject to flooding by normal and wind tides but not hurricane or tropical storm tides."
nonvisual,"""Nonvisual"" means synthesized speech, Braille, and other output methods not requiring sight."
normal agricultural activities,"""Normal agricultural activities"" means those activities defined as an agricultural operation in § 3.2-300 and any activity that is conducted as part of or in furtherance of such agricultural operation but shall not include any activity for which a permit would have been required as of January 1, 1997, under 33 U.S.C. § 1344 or any regulations promulgated pursuant thereto."
normal retirement,"""Normal retirement"" means normal retirement as described in §§ 51.1-153, 51.1-205, 51.1-216 or § 51.1-305, in accordance with the retirement plan covering the member."
normal retirement date,"""Normal retirement date"" means a member's sixtieth birthday."
normal retirement date,"""Normal retirement date"" means a member's sixty-fifth birthday. However, for any (i) person who becomes a member on or after July 1, 2010, or (ii) member who does not have at least 60 months of creditable service as of January 1, 2013, under this chapter his normal retirement date shall be the date that the member attains his ""retirement age"" as defined under the Social Security Act (42 U.S.C. § 416 et seq., as now or hereafter amended)."
normal retirement date,"""Normal retirement date"" means a member's sixtieth birthday."
normal retirement date,"""Normal retirement date"" means a member's sixty-fifth birthday."
normal silvicultural activities,"""Normal silvicultural activities"" means any silvicultural activity as defined in § 10.1-1181.1 and any activity that is conducted as part of or in furtherance of such silvicultural activity but shall not include any activity for which a permit would have been required as of January 1, 1997, under 33 U.S.C. § 1344 or any regulations promulgated pursuant thereto."
normal year,"""New job"" means employment of an indefinite duration, created as the direct result of the private investment, for which the firm pays the wages and standard fringe benefits for its employee, requiring a minimum of either (i) 35 hours of the employee's time a week for the entire normal year of the firm's operations, which ""normal year"" must consist of at least 48 weeks or (ii) 1,680 hours per year."
normal year,"""Permanent full-time position"" means a job of an indefinite duration at a business firm located within an enterprise zone requiring the employee to report for work within the enterprise zone, and requiring either (i) a minimum of 35 hours of an employee's time a week for the entire normal year of the business firm's operations, which ""normal year"" must consist of at least 48 weeks, (ii) a minimum of 35 hours of an employee's time a week for the portion of the taxable year in which the employee was initially hired for, or transferred to, the business firm, or (iii) a minimum of 1,680 hours per year if the standard fringe benefits are paid by the business firm for the employee. Seasonal or temporary positions, or a position created when a job function is shifted from an existing location in the Commonwealth to a business firm located within an enterprise zone shall not qualify as permanent full-time positions."
normal year,"""New full-time job"" means employment (i) of an indefinite duration created as the direct result of capital investment, (ii) for which the average annual wage is at least equal to the prevailing average annual wage in the locality where the clean energy manufacturer is to locate or expand, (iii) for which the standard fringe benefits are paid by the clean energy manufacturer, and (iv) that requires a minimum of either 1,680 hours per year or 35 hours of any employee's time per week for the entire normal year of such manufacturer's operations. For the purposes of this definition, a ""normal year"" consists of a minimum of 48 weeks. Positions that are seasonal or temporary and positions created when a job function is shifted from an existing location in the Commonwealth shall not qualify as new full-time jobs under this section. Other positions, including those of indefinite duration, and supplemental employees of affiliates, subsidiaries, joint ventures, contractors, or subcontractors may be considered new full-time jobs if so designated in the memorandum of understanding."
normal year,"""Full-time"" means employment of an indefinite duration for which the standard fringe benefits are paid, requiring a minimum of either (i) 35 hours of an employee's time per week for the entire normal year of the employer's operations, which ""normal year"" must consist of at least 48 weeks or (ii) 1,680 hours per year. The term ""full-time"" shall not include seasonal or temporary positions or positions created when a job function is shifted from an existing location in the Commonwealth."
normal year,"""qualified full-time employee"" means an employee filling a new, permanent full-time position in a major business facility in the Commonwealth. A ""new, permanent full-time position"" is a job of an indefinite duration, created by the company as a result of the establishment or expansion of a major business facility in the Commonwealth, requiring a minimum of 35 hours of an employee's time a week for the entire normal year of the company's operations, which ""normal year"" shall consist of at least 48 weeks, or a position of indefinite duration which requires a minimum of 35 hours of an employee's time a week for the portion of the taxable year in which the employee was initially hired for, or transferred to, the major business facility in the Commonwealth. Seasonal or temporary positions, or a job created when a job function is shifted from an existing location in the Commonwealth to the new major business facility and positions in building and grounds maintenance, security, and other such positions which are ancillary to the principal activities performed by the employees at a major business facility shall not qualify as new, permanent full-time positions."
normal year,"""New full-time job"" means employment of an indefinite duration in an eligible county, created as the direct result of new capital investment, for which the standard fringe benefits are paid by the qualified manufacturer, requiring a minimum of either (i) 35 hours of an employee's time per week for the entire normal year of such manufacturer's operations, which ""normal year"" must consist of at least 48 weeks or (ii) 1,680 hours per year. Seasonal or temporary positions, and positions created when a job function is shifted from an existing location in the Commonwealth shall not qualify as new full-time jobs under this section. Other positions including contractors, suppliers, and multiplier or spin-off jobs may be considered new full-time jobs, if so designated in the Memorandum of Understanding between such manufacturer and the Commonwealth."
normal year,"""New full-time job"" means employment of an indefinite duration in a facility, for which the average annual wage is at least equal to the prevailing average annual wage in an eligible county and for which the standard fringe benefits are paid by the qualified entity, requiring a minimum of either (i) 35 hours of an employee's time per week for the entire normal year of such qualified entity's operations, which ""normal year"" must consist of at least 48 weeks, or (ii) 1,680 hours per year. Seasonal or temporary positions and positions created when a job function is shifted from an existing location in the Commonwealth shall not qualify as new full-time jobs under this section. Other positions, which may or may not be of indefinite duration, including supplemental employees of affiliates, subsidiaries, joint ventures, contractors, or subcontractors of the qualified entity, may be considered new full-time jobs if so designated as such in the memorandum of understanding."
normal year,"""Permanent full-time position"" means a job of indefinite duration at a business firm located within an enterprise zone requiring the employee to report for work within the enterprise zone; and requiring (i) a minimum of 35 hours of an employee's time per week for the entire normal year of the business firm's operation, which ""normal year"" must consist of at least 48 weeks, (ii) a minimum of 35 hours of an employee's time per week for the portion of the calendar year in which the employee was initially hired for or transferred to the business firm, or (iii) a minimum of 1,680 hours per year. Such position shall not include (i) seasonal, temporary or contract positions, (ii) a position created when a job function is shifted from an existing location in the Commonwealth to a business firm located within an enterprise zone, (iii) any position that previously existed in the Commonwealth, or (iv) positions created by a business that is simultaneously closing facilities in other areas of the Commonwealth."
normal year,"""New job"" means employment of an indefinite duration, created as the direct result of the private investment, for which the firm pays the wages and standard fringe benefits for its employee, requiring a minimum of either (i) 35 hours of the employee's time a week for the entire normal year of the firm's operations, which ""normal year"" shall consist of at least 48 weeks, or (ii) 1,680 hours per year. Seasonal or temporary positions, positions created when a job function is shifted from an existing location in the Commonwealth to the location of the economic development project, positions with suppliers, and multiplier or spin-off jobs shall not qualify as new jobs. The term ""new job"" shall include positions with contractors provided that all requirements included within the definition of the term are met."
normal year,"""New full-time job"" means employment of an indefinite duration in the Commonwealth, created as the direct result of new capital investment, for which the average annual wage is at least equal to the prevailing average annual wage in the applicable locality and for which the standard fringe benefits are paid by the qualified supplier, requiring a minimum of either (i) 35 hours of an employee's time per week for the entire normal year of such supplier's operations, which ""normal year"" must consist of at least 48 weeks or (ii) 1,680 hours per year. Seasonal or temporary positions, and positions created when a job function is shifted from an existing location in the Commonwealth shall not qualify as new full-time jobs under this section."
normal year,"""New full-time job"" means employment of an indefinite duration in an eligible county, created as the direct result of new capital investment, for which the average annual wage is at least equal to the prevailing average annual wage in an eligible county and for which the standard fringe benefits are paid by the qualified manufacturer, requiring a minimum of either (i) 35 hours of an employee's time per week for the entire normal year of such manufacturer's operations, which ""normal year"" must consist of at least 48 weeks or (ii) 1,680 hours per year. Seasonal or temporary positions, and positions created when a job function is shifted from an existing location in the Commonwealth shall not qualify as new full-time jobs under this section. Other positions, which may or may not be of indefinite duration, including supplemental employees of affiliates, subsidiaries, joint ventures, contractors, or subcontractors may be considered new full-time jobs, if so designated in the memorandum of understanding between such manufacturer, the Commonwealth, and others as such memorandum of understanding was in effect on November 20, 2007."
normal year,"""New full-time job"" means employment of an indefinite duration in an eligible city, created as the direct result of capital investment, for which the average annual wage is at least equal to the prevailing average annual wage in an eligible city and for which the standard fringe benefits are paid by the qualified shipbuilder, requiring a minimum of either (i) 35 hours of an employee's time per week for the entire normal year of such qualified shipbuilder's operations, which ""normal year"" must consist of at least 48 weeks, or (ii) 1,680 hours per year. Seasonal or temporary positions and positions created when a job function is shifted from an existing location in the Commonwealth shall not qualify as new full-time jobs under this section. Other positions, which may or may not be of indefinite duration, including supplemental employees of affiliates, subsidiaries, joint ventures, contractors, or subcontractors of the qualified shipbuilder, may be considered new full-time jobs, if so designated as such in the memorandum of understanding between such qualified shipbuilder, the Commonwealth, and others."
normal year,"""New full-time job"" means employment of an indefinite duration in an eligible city, created as the direct result of new capital investment, for which the standard fringe benefits are paid by the qualified semiconductor manufacturer, requiring a minimum of either (i) 35 hours of an employee's time per week for the entire normal year of such manufacturer's operations, which ""normal year"" must consist of at least 48 weeks or (ii) 1,680 hours per year. Seasonal or temporary positions, and positions created when a job function is shifted from an existing location in the Commonwealth shall not qualify as new full-time jobs under this section. Other positions including contractors, suppliers, and multiplier or spin-off jobs may be considered new full-time jobs, if so designated in the Memorandum of Understanding between such manufacturer and the Commonwealth."
north landing river and its tributaries,"""North Landing River and its tributaries"" means the following, as shown on the United States Geological Survey Quadrangle Sheets for Pleasant Ridge, Creeds, and Fentress: the North Landing River from the Virginia-North Carolina line to Virginia Highway 165 at North Landing Bridge; the Chesapeake and Albemarle Canal from Virginia Highway 165 at North Landing Bridge to the locks at Great Bridge; and all named and unnamed streams, creeks and rivers flowing into the North Landing River and the Chesapeake and Albemarle Canal except West Neck Creek north of Indian River Road, Pocaty River west of Blackwater Road, Blackwater River west of its forks located at a point approximately 6400 feet due west of the point where Blackwater Road crosses the Blackwater River at the village of Blackwater, and Millbank Creek west of Blackwater Road."
notarial act,"""Notarial act"" or ""notarization"" means any official act performed by a notary under § 47.1-12 or 47.1-13 or as otherwise authorized by law."
notarial certificate,"""Notarial certificate"" or ""certificate"" means the part of, or attachment to, a notarized document that is completed by the notary public, bears the notary public's signature, title, commission expiration date, notary registration number, and other required information concerning the date and place of the notarization and states the facts attested to or certified by the notary public in a particular notarization."
notarization,"""Notarial act"" or ""notarization"" means any official act performed by a notary under § 47.1-12 or 47.1-13 or as otherwise authorized by law."
notary,""" or ""notary"" means any person commissioned to perform official acts under the title, and includes an electronic notary except where expressly provided otherwise."
note,"""Note"" means the instrument that evidences the debt occasioned by the deferred purchase of a time-share."
notice,"""Notice"" means notice given in writing by either regular mail or hand delivery, with the sender retaining sufficient proof of having given such notice, which may be either a United States postal certificate of mailing or a certificate of service confirming such mailing prepared by the sender. However, a person shall be deemed to have notice of a fact if he has actual knowledge of it, he has received a verbal notice of it, or from all of the facts and circumstances known to him at the time in question, he has reason to know it exists. A person ""notifies"" or ""gives"" a notice or notification to another by taking steps reasonably calculated to inform another person whether or not the other person actually comes to know of it. If notice is given that is not in writing, the person giving the notice has the burden of proof to show that the notice was given to the recipient of the notice."
notice,"""Notice"" means notice given in writing by either regular mail or hand delivery, with sender retaining sufficient proof of having given such notice, which may be either a United States postal certificate of mailing or a certificate of service confirming such mailing prepared by the sender. However, a person shall be deemed to have notice of a fact if he has actual knowledge of it, or he received a verbal notice of it. A person ""notifies"" or ""gives"" a notice or notification to another by taking steps reasonably calculated to inform another person whether or not the other person actually comes to know of it. If a notice given is not in writing, the person giving the notice has the burden of proof to show that the notice was given to the recipient of the notice."
notice,"""Notice"" means actual notification in the manner prescribed in § 59.1-411."
notice,"""Notice"" means notice given in writing by either regular mail or hand delivery, with the sender retaining sufficient proof of having given such notice, which may be either a United States postal certificate of mailing or a certificate of service confirming such mailing prepared by the sender. However, a person shall be deemed to have notice of a fact if he has actual knowledge of it, he has received a verbal notice of it, or from all the facts and circumstances known to him at the time in question, he has reason to know it exists. A person ""notifies"" or ""gives"" a notice or notification to another by taking steps reasonably calculated to inform another person whether or not the other person actually comes to know of it. If notice is given that is not in writing, the person giving the notice has the burden of proof to show that the notice was given to the recipient of the notice."
notice,"""Notice"" means notice given in writing by either regular mail or hand delivery, with the sender retaining sufficient proof of having given such notice, which may be either a United States postal certificate of mailing or a certificate of service confirming such mailing prepared by the sender. However, a person shall be deemed to have notice of a fact if he has actual knowledge of it, he has received a verbal notice of it, or from all of the facts and circumstances known to him at the time in question, he has reason to know it exists. A person ""notifies"" or ""gives"" a notice or notification to another by taking steps reasonably calculated to inform another person whether or not the other person actually comes to know of it. If notice is given that is not in writing, the person giving the notice has the burden of proof to show that the notice was given to the recipient of the notice."
notice,"""Notify,"" ""notice"" or ""notification"" means the completed delivery of information to the person to be notified, and the receipt of same by such person in accordance with this chapter. The delivery of information includes, but is not limited to, the use of any electronic or technological means of data transfer."
notice of proceeding,"""Notice of proceeding"" means a notice of (i) lien of fieri facias, (ii) other process under §§ 8.01-474, 8.01-478, 8.01-479, 8.01-501 through 8.01-504, and § 58.1-1804, 58.1-2020, or 58.1-3952, (iii) levy for federal taxes, or (iv) attachment that states the office of the company where a box rented by the defendant is located."
notification,"""Notify"" or ""notification"" means that the manufacturer shall be deemed to have been notified under this chapter if a written complaint of the defect or defects has been mailed to it or it has responded to the consumer in writing regarding a complaint, or a factory representative has either inspected the vehicle or met with the consumer or an authorized dealer regarding the nonconformity."
notification,"""Notify,"" ""notice"" or ""notification"" means the completed delivery of information to the person to be notified, and the receipt of same by such person in accordance with this chapter. The delivery of information includes, but is not limited to, the use of any electronic or technological means of data transfer."
notification center,"""Notification center"" means an organization whose membership is open to all operators of underground facilities located within the notification center's designated service area, which maintains a data base, provided by its member operators, that includes the geographic areas in which its member operators desire transmissions of notices of proposed excavation, and which has the capability to transmit, within one hour of receipt, notices of proposed excavation to member operators by teletype, telecopy, personal computer, or telephone."
notifies,"""Notice"" means notice given in writing by either regular mail or hand delivery, with the sender retaining sufficient proof of having given such notice, which may be either a United States postal certificate of mailing or a certificate of service confirming such mailing prepared by the sender. However, a person shall be deemed to have notice of a fact if he has actual knowledge of it, he has received a verbal notice of it, or from all of the facts and circumstances known to him at the time in question, he has reason to know it exists. A person ""notifies"" or ""gives"" a notice or notification to another by taking steps reasonably calculated to inform another person whether or not the other person actually comes to know of it. If notice is given that is not in writing, the person giving the notice has the burden of proof to show that the notice was given to the recipient of the notice."
notifies,"""Notice"" means notice given in writing by either regular mail or hand delivery, with sender retaining sufficient proof of having given such notice, which may be either a United States postal certificate of mailing or a certificate of service confirming such mailing prepared by the sender. However, a person shall be deemed to have notice of a fact if he has actual knowledge of it, or he received a verbal notice of it. A person ""notifies"" or ""gives"" a notice or notification to another by taking steps reasonably calculated to inform another person whether or not the other person actually comes to know of it. If a notice given is not in writing, the person giving the notice has the burden of proof to show that the notice was given to the recipient of the notice."
notifies,"""Notice"" means notice given in writing by either regular mail or hand delivery, with the sender retaining sufficient proof of having given such notice, which may be either a United States postal certificate of mailing or a certificate of service confirming such mailing prepared by the sender. However, a person shall be deemed to have notice of a fact if he has actual knowledge of it, he has received a verbal notice of it, or from all the facts and circumstances known to him at the time in question, he has reason to know it exists. A person ""notifies"" or ""gives"" a notice or notification to another by taking steps reasonably calculated to inform another person whether or not the other person actually comes to know of it. If notice is given that is not in writing, the person giving the notice has the burden of proof to show that the notice was given to the recipient of the notice."
notifies,"""Notice"" means notice given in writing by either regular mail or hand delivery, with the sender retaining sufficient proof of having given such notice, which may be either a United States postal certificate of mailing or a certificate of service confirming such mailing prepared by the sender. However, a person shall be deemed to have notice of a fact if he has actual knowledge of it, he has received a verbal notice of it, or from all of the facts and circumstances known to him at the time in question, he has reason to know it exists. A person ""notifies"" or ""gives"" a notice or notification to another by taking steps reasonably calculated to inform another person whether or not the other person actually comes to know of it. If notice is given that is not in writing, the person giving the notice has the burden of proof to show that the notice was given to the recipient of the notice."
notify,"""Notify"" or ""notification"" means that the manufacturer shall be deemed to have been notified under this chapter if a written complaint of the defect or defects has been mailed to it or it has responded to the consumer in writing regarding a complaint, or a factory representative has either inspected the vehicle or met with the consumer or an authorized dealer regarding the nonconformity."
noxious weed,"""Noxious weed"" means any living plant, not widely disseminated, or part thereof, declared by the Board through regulations under this chapter, to be detrimental to crops, surface waters, including lakes, or other desirable plants, livestock, land, or other property, or to be injurious to public health or the economy."
noxious-weed seed,"""Noxious-weed seed"" means prohibited noxious-weed seeds and restricted noxious weed seeds."
nuclear medicine technologist,"""Nuclear medicine technologist"" means an individual who holds a current certification with the American Registry of Radiological Technologists or the Nuclear Medicine Technology Certification Board."
nuclear power station,"""Nuclear power station"" means a facility producing electricity through the utilization of nuclear energy for sale to the public which is required to be licensed by the Nuclear Regulatory Commission and includes all units of the facility at a single site."
nucleus,"""Nucleus"" means the cell structure that houses the chromosomes and, thus, the genes."
nudity,"""Nudity"" means a state of undress so as to expose the human male or female genitals, pubic area or buttocks with less than a full opaque covering, or the showing of the female breast with less than a fully opaque covering of any portion thereof below the top of the nipple, or the depiction of covered or uncovered male genitals in a discernibly turgid state."
nuisance birds,"""Nuisance birds"" means blackbirds, red-winged blackbirds, grackles, cowbirds, pigeons, and starlings, or any other species so declared by regulations of the Board when causing or about to cause economic losses in the Commonwealth; becoming detrimental to the public health and welfare; defacing or defiling public or private property or otherwise creating a public nuisance."
nuisance species,"""Nuisance species"" means blackbirds, coyotes, crows, cowbirds, feral swine, grackles, English sparrows, starlings, or those species designated as such by regulations of the Board, and those species found committing or about to commit depredation upon ornamental or shade trees, agricultural crops, wildlife, livestock or other property or when concentrated in numbers and manners as to constitute a health hazard or other nuisance. However, the term nuisance does not include (i) animals designated as endangered or threatened pursuant to §§ 29.1-563, 29.1-564, and 29.1-566, (ii) animals classified as game or fur-bearing animals, and (iii) those species protected by state or federal law."
number of children,"""Number of children"" means the number of children for whom the parents share joint legal responsibility and for whom support is being sought."
nurse aide practice,"""Practice of a nurse aide"" or ""nurse aide practice"" means the performance of services requiring the education, training, and skills specified in this chapter for certification as a nurse aide. Such services are performed under the supervision of a dentist, physician, podiatrist, professional nurse, licensed practical nurse, or other licensed health care professional acting within the scope of the requirements of his profession."
nurse practitioner,"""Nurse practitioner"" means an advanced practice registered nurse who is jointly licensed by the Boards of Medicine and Nursing pursuant to § 54.1-2957."
nurse practitioner,"""Nurse practitioner"" means an advanced practice registered nurse who is jointly licensed by the Boards of Medicine and Nursing pursuant to § 54.1-2957."
nursery,"""Nursery"" means any premises where nursery stock is propagated, grown, fumigated, treated, packed, stored, or otherwise prepared for sale or distribution."
nursery stock,"""Nursery stock"" means all trees, shrubs, woody vines (including ornamentals), bush fruits, grapevines, fruit trees, and nut trees offered for sale and distribution; all buds, grafts, scions, and cuttings from such plants; and any container, soil, and other packing material with such plants or plant products. It shall also mean herbaceous plants (including strawberry plants, narcissus plants, and narcissus bulbs) if the Board determines that controlling the movement of such plants or bulbs is necessary to control any plant pest. Unless designated by the Board, nursery stock shall not include florist or greenhouse plants for inside culture or use."
nurseryman,"""Nurseryman"" means any person that produces nursery stock for sale or distribution."
nursing home,"""Nursing home"" means any facility or any identifiable component of any facility licensed pursuant to this article in which the primary function is the provision, on a continuing basis, of nursing services and health-related services for the treatment and inpatient care of two or more nonrelated individuals, including facilities known by varying nomenclature or designation such as convalescent homes, skilled nursing facilities or skilled care facilities, intermediate care facilities, extended care facilities and nursing or nursing care facilities."
nursing home,"""Nursing home"" means any public or private facility required to be licensed as a nursing home under the provisions of Chapter 5 (§ 32.1-123 et seq.) of Title 32.1 and the regulations of the Board of Health."
nursing home administrator,"""Nursing home administrator"" means any individual charged with the general administration of a nursing home regardless of whether he has an ownership interest in the facility."
nutrient credit,"""Nutrient credit"" or ""credit"" means a nutrient credit certified pursuant to Article 1.1:1 (§ 10.1-603.15:1 et seq.)."
nutrient management plan,"""Nutrient management plan"" means a plan developed or approved by the Department of Conservation and Recreation that requires proper storage, treatment and management of poultry waste, including dry litter, and limits accumulation of excess nutrients in soils and leaching or discharge of nutrients into state waters."
nutrient removal technology,"""Nutrient removal technology"" means state-of-the-art nutrient removal technology, biological nutrient removal technology, or other nutrient removal technology."
nutrition services,"""Nutrition services"" includes home-delivered meals, food stamps, and congregate meals."
oath,"""Oath"" shall include ""affirmation."""
object,"""Object"" means the person in whose favor the power may be exercised."
object of antiquity,"""Object of antiquity"" means any relic, artifact, remain, including human skeletal remains, specimen, or other archaeological article that may be found on, in or below the surface of the earth which has historic, scientific, archaeologic or educational value."
objects,"""Objects"" when used in connection with a power means the persons in whose favor the power may be exercised."
obligation,"""Obligation"" means an established duty, whether or not fixed, arising from (i) an express or implied contractual, grantor-grantee, or licensor-licensee relationship; (ii) a fee-based or similar relationship; (iii) a statute or regulation; or (iv) the retention of any overpayment."
obligation,"""Obligation"" means a bond, debenture, note or other evidence of indebtedness."
obligation,"""Obligation"" means the direct liability of the maker or acceptor of the paper discounted with or sold to a bank and the liability of the endorser, drawer, or guarantor who obtains a loan from or discounts paper with or sells paper under his guaranty to such bank. ""Obligation"" shall include:"
obligations,"""Obligations"" means and includes bonds, interim certificates or receipts, notes, debentures, and all other evidences of indebtedness either issued by, or the payment of which is assumed or contractually undertaken by, a cooperative."
obligations,"""Obligations"" shall mean and include bonds, interim certificates or receipts, notes, debentures, and all other evidences of indebtedness either issued or the payment thereof assumed by a cooperative."
obligations,"""Obligations"" means all evidences of indebtedness issued by or the payment of which is assumed by a cooperative."
obligations,"""Obligations"" means bonds, general obligation bonds and revenue bonds as defined in § 15.2-2602 of the Public Finance Act (§ 15.2-2600 et seq.), and any other form of indebtedness which the county, city or town may incur."
obligee,"""Obligee of the authority"" or ""obligee"" includes any bondholder, trustee or trustees for any bondholders, any lessor demising property to the authority used in connection with a hospital project or any assignee or assignees of such lessor's interest or any part thereof, and the United States of America when it is a party to any contract with the authority."
obligee,"""Obligee of the authority"" or ""obligee"" means any bondholder, trustee or trustees for any bondholders, or lessor demising to the authority property used in connection with a project, or any assignee or assignees of such lessor's interest or any part thereof, and the federal government when it is a party to any contract with the authority."
obligee,"""Obligee"" means (i) an individual to whom a duty of support is or is alleged to be owed or in whose favor a support order has been issued or a judgment determining parentage has been rendered, (ii) a state or political subdivision to which the rights under a duty of support or support order have been assigned or that has independent claims based on financial assistance provided to an individual obligee, or (iii) an individual seeking a judgment determining parentage of the individual's child."
obligee,"""Obligee"" means any person or entity to whom a residential ground rent is owed."
obligee,"""Obligee of the authority"" or ""obligee"" includes any bondholder, trustee or trustees for any bondholders, and the federal government when it is a party to any contract with the authority."
